stat,value,comment,file_name
dtlb.hits,9923602,total number of hits,sim-outorder_anagram_taken.cfg.out.txt
dtlb.misses,83,total number of misses,sim-outorder_anagram_taken.cfg.out.txt
dtlb.replacements,0,total number of replacements,sim-outorder_anagram_taken.cfg.out.txt
dtlb.writebacks,0,total number of writebacks,sim-outorder_anagram_taken.cfg.out.txt
dtlb.invalidations,0,total number of invalidations,sim-outorder_anagram_taken.cfg.out.txt
dtlb.miss_rate,0.0000,"miss rate (i.e., misses/ref)",sim-outorder_anagram_taken.cfg.out.txt
dtlb.repl_rate,0.0000,"replacement rate (i.e., repls/ref)",sim-outorder_anagram_taken.cfg.out.txt
dtlb.wb_rate,0.0000,"writeback rate (i.e., wrbks/ref)",sim-outorder_anagram_taken.cfg.out.txt
dtlb.inv_rate,0.0000,"invalidation rate (i.e., invs/ref)",sim-outorder_anagram_taken.cfg.out.txt
sim_invalid_addrs,0,total non-speculative bogus addresses seen (debug var),sim-outorder_anagram_taken.cfg.out.txt
ld_text_base,0x0120000000,program text (code) segment base,sim-outorder_anagram_taken.cfg.out.txt
ld_text_size,106496,program text (code) size in bytes,sim-outorder_anagram_taken.cfg.out.txt
ld_data_base,0x0140000000,program initialized data segment base,sim-outorder_anagram_taken.cfg.out.txt
ld_data_size,71264,program init'ed `.data' and uninit'ed `.bss' size in bytes,sim-outorder_anagram_taken.cfg.out.txt
ld_stack_base,0x011ff9b000,program stack segment base (highest address in stack),sim-outorder_anagram_taken.cfg.out.txt
ld_stack_size,16384,program initial stack size,sim-outorder_anagram_taken.cfg.out.txt
ld_prog_entry,0x01200059c0,program entry point (initial PC),sim-outorder_anagram_taken.cfg.out.txt
ld_environ_base,0x011ff97000,program environment base address address,sim-outorder_anagram_taken.cfg.out.txt
ld_target_big_endian,0,"target executable endian-ness, non-zero if big endian",sim-outorder_anagram_taken.cfg.out.txt
mem.page_count,54,total number of pages allocated,sim-outorder_anagram_taken.cfg.out.txt
mem.page_mem,432k,total size of memory pages allocated,sim-outorder_anagram_taken.cfg.out.txt
mem.ptab_misses,460252,total first level page table misses,sim-outorder_anagram_taken.cfg.out.txt
mem.ptab_accesses,270780676,total page table accesses,sim-outorder_anagram_taken.cfg.out.txt
mem.ptab_miss_rate,0.0017,first level page table miss rate,sim-outorder_anagram_taken.cfg.out.txt
